,id,amount_tsh,days_since_recorded,funder,gps_height,installer,basin,region_code,population,public_meeting,permit,extraction_type_class,management,payment_type,water_quality,quality_group,quantity,source,source_class,waterpoint_type_group,construction_periods
19,18532,0.0,304,other,368,other,Ruvuma / Southern Coast,9,300,True,True,submersible,vwc,never pay,soft,good,dry,machine dbh,groundwater,communal standpipe,1980-1989
20,69961,0.0,266,other,-27,other,Wami / Ruvu,7,120,True,False,submersible,other - school,never pay,soft,good,enough,machine dbh,groundwater,communal standpipe,2010-2013
21,55083,0.0,1002,other,1674,DWE,Rufiji,11,30,True,False,gravity,vwc,never pay,soft,good,insufficient,spring,groundwater,communal standpipe,2000-2009
22,8691,0.0,302,other,1087,DWE,Lake Tanganyika,16,1750,True,True,other,vwc,unknown,milky,milky,enough,shallow well,groundwater,other,2000-2009
23,30331,0.0,297,other,1441,other,Internal,13,1,True,False,motorpump,vwc,unknown,unknown,unknown,dry,machine dbh,groundwater,communal standpipe,1970-1979
24,70970,0.0,422,other,0,DWE,Lake Victoria,17,0,True,False,handpump,wug,never pay,soft,good,enough,shallow well,groundwater,hand pump,unknown
25,61136,200.0,1014,other,1726,DWE,Rufiji,11,50,True,False,gravity,vwc,monthly,soft,good,enough,spring,groundwater,communal standpipe,2000-2009
26,28799,0.0,288,other,986,DWE,Ruvuma / Southern Coast,10,0,True,True,gravity,vwc,never pay,soft,good,dry,river,surface,communal standpipe,2000-2009
27,46825,0.0,968,other,0,other,Wami / Ruvu,1,0,True,False,motorpump,vwc,per bucket,salty,salty,dry,machine dbh,groundwater,communal standpipe,unknown
28,44718,0.0,302,other,0,DWE,Lake Victoria,17,0,True,False,handpump,wug,on failure,salty abandoned,salty,enough,shallow well,groundwater,hand pump,unknown
29,37350,0.0,286,other,1309,other,Internal,21,860,True,False,gravity,vwc,never pay,soft,good,seasonal,rainwater harvesting,surface,communal standpipe,2000-2009
30,65738,5.0,0,other,1564,other,Internal,24,200,True,True,gravity,vwc,per bucket,soft,good,enough,river,surface,communal standpipe,2000-2009
31,3271,0.0,400,other,0,DWE,Internal,14,0,False,True,motorpump,vwc,never pay,soft,good,enough,machine dbh,groundwater,communal standpipe,unknown
32,42658,0.0,393,other,0,other,Lake Tanganyika,14,0,True,True,handpump,vwc,never pay,soft,good,seasonal,shallow well,groundwater,hand pump,unknown
33,67523,20.0,265,other,1537,other,Internal,24,300,True,True,gravity,vwc,per bucket,coloured,colored,enough,river,surface,communal standpipe,1990-1999
34,37034,500.0,982,Unicef,1489,DWE,Rufiji,11,360,True,True,gravity,wua,monthly,soft,good,enough,river,surface,communal standpipe,1970-1979
35,42432,500.0,883,Unicef,1798,DWE,Rufiji,11,45,True,True,gravity,wua,monthly,soft,good,enough,river,surface,communal standpipe,1970-1979
36,27420,0.0,995,other,0,DWE,Pangani,4,200,True,True,gravity,vwc,never pay,coloured,colored,insufficient,spring,groundwater,communal standpipe,1970-1979
37,707,1000.0,284,other,1642,other,Pangani,3,45,True,False,gravity,wua,monthly,soft,good,enough,spring,groundwater,communal standpipe,1970-1979
38,48489,0.0,1010,other,362,DWE,Wami / Ruvu,5,1,True,True,gravity,vwc,never pay,soft,good,insufficient,river,surface,communal standpipe,1980-1989
39,51008,0.0,979,Danida,0,Danida,Lake Rukwa,12,0,True,False,gravity,wug,on failure,soft,good,dry,river,surface,communal standpipe,unknown
40,72562,50.0,300,other,128,other,Ruvuma / Southern Coast,99,400,True,True,submersible,vwc,per bucket,soft,good,enough,machine dbh,groundwater,communal standpipe,2000-2009
41,10275,0.0,990,other,216,DWE,Pangani,4,120,True,False,handpump,vwc,never pay,soft,good,insufficient,shallow well,groundwater,hand pump,1980-1989
42,53540,0.0,417,World Bank,0,other,Lake Victoria,17,0,True,True,other,vwc,never pay,soft,good,enough,machine dbh,groundwater,communal standpipe,unknown
43,43291,0.0,842,other,0,other,Lake Victoria,19,0,True,True,handpump,vwc,never pay,unknown,unknown,dry,shallow well,groundwater,hand pump,unknown
44,8813,0.0,859,other,0,DWE,Lake Victoria,19,0,True,True,submersible,vwc,per bucket,soft,good,enough,lake,surface,communal standpipe,unknown
45,62343,0.0,975,other,0,other,Rufiji,12,0,True,True,gravity,wug,on failure,soft,good,dry,river,surface,communal standpipe,unknown
46,1649,0.0,414,other,0,other,Lake Tanganyika,14,0,True,True,handpump,vwc,on failure,soft,good,enough,machine dbh,groundwater,hand pump,unknown
47,8822,50.0,274,other,1010,other,Pangani,3,180,True,True,submersible,vwc,per bucket,salty,salty,insufficient,machine dbh,groundwater,communal standpipe,2000-2009
48,10352,0.0,966,other,0,other,Rufiji,12,0,False,False,gravity,wug,on failure,soft,good,enough,river,surface,communal standpipe,unknown
49,50878,0.0,413,other,0,Government,Lake Victoria,17,0,True,False,gravity,private operator,monthly,soft,good,enough,dam,surface,communal standpipe,unknown
50,15266,0.0,864,other,0,other,Lake Nyasa,12,0,True,False,gravity,vwc,never pay,soft,good,enough,spring,groundwater,communal standpipe,unknown
51,51956,0.0,991,other,1190,DWE,Pangani,4,1,True,True,gravity,vwc,never pay,soft,good,enough,spring,groundwater,communal standpipe,1970-1979
52,44099,1500.0,297,Danida,642,Danida,Ruvuma / Southern Coast,10,1,True,False,handpump,vwc,monthly,soft,good,insufficient,machine dbh,groundwater,hand pump,1990-1999
53,59,0.0,414,other,0,DWE,Internal,17,0,True,True,gravity,vwc,per bucket,soft,good,insufficient,spring,groundwater,communal standpipe,unknown
54,51359,0.0,318,other,-5,DWE,Ruvuma / Southern Coast,80,530,False,False,submersible,vwc,unknown,soft,good,unknown,machine dbh,groundwater,communal standpipe,2000-2009
55,15962,0.0,855,Hesawa,0,other,Lake Victoria,19,0,True,True,other,vwc,unknown,unknown,unknown,dry,machine dbh,groundwater,other,unknown
56,17853,0.0,849,Hesawa,1226,DWE,Lake Victoria,19,1200,True,True,gravity,vwc,never pay,soft,good,insufficient,spring,groundwater,improved spring,1990-1999
57,42040,0.0,248,other,1387,Government,Pangani,3,1,True,True,gravity,wua,never pay,soft,good,insufficient,spring,groundwater,communal standpipe,1970-1979
58,72243,0.0,294,Danida,805,Danida,Rufiji,10,250,True,False,handpump,wug,on failure,soft,good,enough,shallow well,groundwater,hand pump,1990-1999
59,63653,0.0,250,World Bank,1544,DWE,Pangani,2,200,True,True,gravity,vwc,never pay,soft,good,insufficient,spring,groundwater,communal standpipe,2000-2009
60,26510,0.0,416,other,0,other,Internal,17,0,True,False,handpump,wug,other,soft,good,enough,shallow well,groundwater,hand pump,unknown
61,72053,0.0,855,other,0,other,Lake Victoria,18,0,True,False,gravity,vwc,never pay,soft,good,insufficient,spring,groundwater,other,unknown
62,29351,500.0,410,other,1369,other,Lake Victoria,20,560,True,True,handpump,vwc,monthly,soft,good,enough,shallow well,groundwater,hand pump,2010-2013
63,51897,0.0,308,other,1584,other,Internal,13,1,True,False,other,vwc,unknown,unknown,unknown,dry,shallow well,groundwater,other,1990-1999
64,20376,2400.0,1005,Danida,1609,DWE,Rufiji,11,0,True,True,handpump,vwc,annually,soft,good,enough,hand dtw,groundwater,hand pump,unknown
65,26804,1000.0,986,other,334,DWE,Rufiji,5,230,True,True,handpump,vwc,monthly,soft,good,enough,shallow well,groundwater,hand pump,2010-2013
66,67303,0.0,259,other,1070,DWE,Pangani,2,150,True,True,gravity,vwc,never pay,soft,good,enough,spring,groundwater,other,1980-1989
67,69780,0.0,288,other,1286,other,Pangani,3,1,True,True,gravity,company,monthly,soft,good,insufficient,spring,groundwater,communal standpipe,1960-1969
68,45374,0.0,290,other,0,DWE,Lake Victoria,17,0,False,False,handpump,wug,unknown,soft,good,enough,shallow well,groundwater,hand pump,unknown
69,54665,7.0,261,other,1624,other,Pangani,3,1,True,True,gravity,water board,per bucket,soft,good,enough,spring,groundwater,communal standpipe,2000-2009
70,39341,500.0,295,other,1282,Government,Lake Tanganyika,16,950,True,False,submersible,vwc,other,soft,good,enough,machine dbh,groundwater,communal standpipe,1970-1979
71,8869,500.0,303,Danida,462,Danida,Ruvuma / Southern Coast,10,1,True,False,gravity,vwc,monthly,soft,good,enough,river,surface,communal standpipe,1980-1989
72,20691,0.0,970,other,0,other,Lake Rukwa,12,0,True,False,handpump,vwc,on failure,soft,good,insufficient,shallow well,groundwater,hand pump,unknown
73,19693,0.0,287,other,1571,other,Internal,21,221,True,True,gravity,vwc,never pay,soft,good,dry,spring,groundwater,communal standpipe,2000-2009
74,14321,0.0,836,other,1546,DWE,Lake Rukwa,15,50,True,False,handpump,vwc,never pay,soft,good,enough,machine dbh,groundwater,hand pump,1980-1989
75,63059,0.0,298,other,0,Government,Lake Victoria,17,0,True,False,gravity,wug,per bucket,soft,good,insufficient,machine dbh,groundwater,communal standpipe,unknown
76,67403,1000.0,1004,other,-7,DWE,Pangani,4,25,True,False,gravity,vwc,never pay,soft,good,insufficient,machine dbh,groundwater,communal standpipe,2000-2009
77,28912,7.0,257,other,1133,other,Pangani,3,125,True,True,gravity,water board,per bucket,soft,good,enough,spring,groundwater,communal standpipe,2000-2009
78,12549,0.0,999,World Bank,0,other,Internal,1,0,True,True,motorpump,vwc,per bucket,soft,good,enough,machine dbh,groundwater,communal standpipe,unknown
79,24328,500.0,272,other,900,other,Pangani,3,80,True,True,gravity,water board,monthly,soft,good,insufficient,spring,groundwater,other,1970-1979
80,13750,0.0,401,other,0,other,Lake Tanganyika,14,0,True,True,handpump,vwc,never pay,soft,good,enough,shallow well,groundwater,hand pump,unknown
81,1574,0.0,986,other,1237,DWE,Pangani,4,1,True,True,gravity,vwc,never pay,soft,good,enough,spring,groundwater,communal standpipe,1960-1969
82,44149,0.0,879,Hesawa,0,DWE,Lake Victoria,18,0,True,True,handpump,vwc,never pay,soft,good,insufficient,shallow well,groundwater,hand pump,unknown
83,53917,0.0,877,Hesawa,0,DWE,Lake Victoria,18,0,True,True,gravity,vwc,annually,soft,good,enough,spring,groundwater,communal standpipe,unknown
84,22705,0.0,183,other,1388,other,Pangani,2,98,True,True,gravity,vwc,unknown,soft,good,insufficient,spring,groundwater,communal standpipe,2000-2009
85,66465,0.0,404,other,0,DWE,Lake Tanganyika,17,0,True,True,gravity,parastatal,unknown,soft,good,seasonal,rainwater harvesting,surface,communal standpipe,unknown
86,15644,0.0,861,other,0,DWE,Lake Victoria,18,0,True,True,gravity,vwc,never pay,soft,good,insufficient,rainwater harvesting,surface,communal standpipe,unknown
87,20773,0.0,979,other,0,other,Internal,1,0,True,False,motorpump,vwc,never pay,soft,good,enough,machine dbh,groundwater,communal standpipe,unknown
88,33092,0.0,987,other,774,other,Rufiji,5,300,False,True,gravity,other,never pay,soft,good,enough,spring,groundwater,communal standpipe,unknown
89,54392,7500.0,291,other,677,other,Pangani,3,320,True,False,motorpump,private operator,annually,unknown,unknown,enough,dam,surface,communal standpipe,2010-2013
90,37850,50.0,989,other,105,DWE,Wami / Ruvu,6,1,True,True,motorpump,vwc,per bucket,soft,good,enough,river,surface,communal standpipe,2010-2013
91,5576,2000.0,1023,other,1764,other,Rufiji,11,1,True,True,handpump,vwc,never pay,soft,good,enough,machine dbh,groundwater,hand pump,2000-2009
92,60840,0.0,293,other,1182,DWE,Internal,21,72,True,True,gravity,vwc,never pay,soft,good,insufficient,spring,groundwater,communal standpipe,1990-1999
93,9971,0.0,871,other,1116,DWE,Lake Rukwa,15,70,False,True,gravity,water authority,never pay,soft,good,enough,spring,groundwater,communal standpipe,1970-1979
94,57508,300.0,993,other,875,other,Wami / Ruvu,5,350,True,True,handpump,vwc,on failure,soft,good,insufficient,shallow well,groundwater,hand pump,1990-1999
95,25872,0.0,411,other,0,other,Internal,14,0,False,False,handpump,vwc,never pay,soft,good,enough,shallow well,groundwater,hand pump,unknown
96,43978,100.0,990,other,2116,Commu,Rufiji,11,0,True,False,gravity,vwc,on failure,soft,good,enough,spring,groundwater,communal standpipe,1970-1979
97,38181,500.0,997,other,2576,Commu,Lake Nyasa,11,0,True,False,gravity,vwc,on failure,soft,good,enough,spring,groundwater,communal standpipe,1980-1989
98,24325,0.0,995,other,344,other,Wami / Ruvu,5,20,True,True,other,vwc,never pay,soft,good,enough,shallow well,groundwater,hand pump,2000-2009
99,2724,0.0,875,Hesawa,0,other,Lake Victoria,18,0,True,True,gravity,vwc,never pay,soft,good,insufficient,river,surface,communal standpipe,unknown
100,34794,0.0,865,other,1006,DWE,Lake Rukwa,15,50,False,True,gravity,water authority,never pay,soft,good,enough,spring,groundwater,communal standpipe,1970-1979
101,56525,0.0,426,other,0,other,Internal,17,0,True,True,gravity,vwc,per bucket,soft,good,enough,spring,groundwater,communal standpipe,unknown
102,63155,0.0,858,other,0,other,Lake Victoria,18,0,True,True,submersible,vwc,never pay,soft,good,enough,spring,groundwater,communal standpipe,unknown
103,67247,10.0,1008,other,1633,other,Wami / Ruvu,5,60,True,True,gravity,vwc,per bucket,soft,good,enough,river,surface,communal standpipe,2000-2009
104,23387,0.0,311,other,24,DWE,Ruvuma / Southern Coast,80,390,True,True,handpump,vwc,never pay,soft,good,enough,shallow well,groundwater,hand pump,2010-2013
105,17873,0.0,410,other,0,other,Lake Tanganyika,17,0,False,False,other,unknown,unknown,unknown,unknown,unknown,unknown,unknown,hand pump,unknown
106,18197,0.0,914,other,1569,other,Rufiji,11,40,True,False,handpump,vwc,never pay,soft,good,enough,hand dtw,groundwater,hand pump,2000-2009
107,24834,250.0,290,other,1610,other,Lake Tanganyika,16,650,True,True,gravity,water board,monthly,soft,good,enough,spring,groundwater,communal standpipe,1990-1999
108,4091,500.0,1001,other,1504,DWE,Pangani,4,1,True,True,gravity,vwc,monthly,soft,good,enough,spring,groundwater,communal standpipe,1970-1979
109,33261,0.0,960,other,0,other,Lake Nyasa,12,0,True,False,gravity,vwc,unknown,soft,good,unknown,spring,groundwater,communal standpipe,unknown
110,44384,20.0,299,other,1721,other,Internal,21,192,True,True,submersible,vwc,per bucket,soft,good,enough,machine dbh,groundwater,communal standpipe,1990-1999
111,62096,0.0,358,other,0,other,Lake Tanganyika,14,0,False,True,other,vwc,never pay,soft,good,dry,shallow well,groundwater,other,unknown
112,64554,100.0,263,other,78,other,Wami / Ruvu,7,250,False,False,submersible,private operator,per bucket,soft,good,enough,hand dtw,groundwater,communal standpipe,2010-2013
113,68314,1000.0,1008,Danida,1620,other,Rufiji,11,1,True,True,gravity,vwc,monthly,soft,good,enough,spring,groundwater,communal standpipe,1980-1989
114,53,50.0,243,other,1414,DWE,Pangani,2,200,True,True,gravity,vwc,per bucket,soft,good,insufficient,spring,groundwater,communal standpipe,2000-2009
115,23426,0.0,974,other,0,other,Lake Nyasa,12,0,True,False,gravity,vwc,never pay,soft,good,enough,spring,groundwater,communal standpipe,unknown
116,38259,0.0,308,other,1982,other,Lake Tanganyika,15,0,True,True,gravity,vwc,never pay,soft,good,dry,river,surface,communal standpipe,1980-1989
117,16631,100.0,277,Danida,876,Danida,Ruvuma / Southern Coast,10,200,True,False,handpump,wug,monthly,soft,good,insufficient,shallow well,groundwater,hand pump,1990-1999
118,43162,0.0,310,other,1623,other,Internal,13,25,True,False,submersible,company,never pay,soft,good,insufficient,machine dbh,groundwater,communal standpipe,2000-2009
119,44492,0.0,877,Hesawa,0,DWE,Lake Victoria,18,0,True,True,handpump,vwc,never pay,soft,good,insufficient,shallow well,groundwater,hand pump,unknown
120,38884,0.0,415,other,0,DWE,Internal,17,0,False,False,gravity,vwc,unknown,soft,good,insufficient,river,surface,communal standpipe,unknown
121,13690,100.0,988,other,472,other,Wami / Ruvu,5,250,True,True,gravity,vwc,monthly,soft,good,enough,river,surface,communal standpipe,2000-2009
122,60335,0.0,260,other,1639,DWE,Pangani,3,70,False,True,gravity,other,never pay,soft,good,enough,river,surface,communal standpipe,1970-1979
123,31856,0.0,423,Rwssp,0,DWE,Lake Tanganyika,17,0,True,True,handpump,wug,unknown,soft,good,insufficient,shallow well,groundwater,hand pump,unknown
124,67891,20.0,997,other,173,other,Wami / Ruvu,6,150,True,True,submersible,wua,per bucket,soft,good,enough,river,surface,communal standpipe,2010-2013
125,25564,0.0,1007,other,697,DWE,Lake Nyasa,11,60,True,False,gravity,vwc,never pay,soft,good,enough,spring,groundwater,communal standpipe,1980-1989
126,55293,0.0,1011,other,1989,Commu,Lake Nyasa,11,0,True,False,gravity,vwc,never pay,soft,good,enough,spring,groundwater,communal standpipe,1980-1989
127,31866,5.0,248,other,1093,DWE,Pangani,3,20,True,True,gravity,water board,per bucket,soft,good,enough,river,surface,communal standpipe,2000-2009
128,71178,0.0,867,other,0,other,Lake Rukwa,12,0,True,False,handpump,vwc,on failure,soft,good,enough,shallow well,groundwater,hand pump,unknown
129,60279,0.0,1005,other,2012,other,Rufiji,11,80,True,True,gravity,vwc,never pay,soft,good,enough,spring,groundwater,communal standpipe,2000-2009
130,28615,500.0,264,other,1274,other,Lake Nyasa,10,260,True,True,gravity,water board,monthly,soft,good,enough,spring,groundwater,communal standpipe,2000-2009
131,8744,100.0,1008,other,2132,Commu,Lake Nyasa,11,0,True,False,gravity,vwc,monthly,soft,good,enough,spring,groundwater,communal standpipe,2000-2009
132,48308,0.0,426,other,0,other,Lake Tanganyika,17,0,True,True,gravity,vwc,per bucket,soft,good,enough,spring,groundwater,communal standpipe,unknown
133,49626,0.0,390,other,1287,other,Lake Victoria,20,200,True,True,gravity,wua,unknown,soft,good,dry,lake,surface,communal standpipe,1970-1979
134,38098,0.0,61,other,1306,other,Internal,2,250,True,True,gravity,wua,unknown,soft,good,insufficient,spring,groundwater,communal standpipe,2010-2013
135,30309,0.0,307,other,1339,DWE,Lake Victoria,17,250,True,False,handpump,wug,never pay,soft,good,enough,shallow well,groundwater,hand pump,1990-1999
136,8015,0.0,867,other,0,other,Lake Victoria,19,0,True,True,handpump,private operator,never pay,salty,salty,enough,shallow well,groundwater,hand pump,unknown
137,3496,0.0,960,World Bank,0,other,Wami / Ruvu,5,189,True,True,submersible,vwc,never pay,salty,salty,enough,machine dbh,groundwater,communal standpipe,2000-2009
138,56971,0.0,991,other,1193,DWE,Pangani,4,1,True,True,handpump,vwc,never pay,salty,salty,enough,shallow well,groundwater,hand pump,2010-2013
139,68616,0.0,868,other,0,other,Lake Victoria,19,0,True,True,handpump,vwc,never pay,soft,good,insufficient,machine dbh,groundwater,hand pump,unknown
140,8646,0.0,288,Danida,1042,Danida,Lake Nyasa,10,180,True,False,handpump,wug,on failure,soft,good,insufficient,shallow well,groundwater,hand pump,1980-1989
141,74104,0.0,995,other,0,other,Rufiji,1,0,True,True,motorpump,vwc,unknown,soft,good,insufficient,machine dbh,groundwater,communal standpipe,unknown
142,37501,50.0,313,other,720,other,Ruvuma / Southern Coast,90,850,True,False,gravity,vwc,per bucket,soft,good,insufficient,spring,groundwater,communal standpipe,1990-1999
143,33001,0.0,419,other,0,other,Internal,14,0,False,True,submersible,water authority,never pay,coloured,colored,insufficient,dam,surface,communal standpipe,unknown
144,69202,0.0,283,other,1682,other,Pangani,3,1,True,True,gravity,company,monthly,soft,good,enough,spring,groundwater,communal standpipe,2000-2009
145,68409,5.0,262,other,942,other,Pangani,3,50,True,True,gravity,water board,per bucket,soft,good,enough,spring,groundwater,communal standpipe,1990-1999
146,51847,0.0,990,other,0,other,Wami / Ruvu,1,0,True,True,motorpump,vwc,unknown,soft,good,dry,machine dbh,groundwater,communal standpipe,unknown
147,55647,0.0,417,other,0,other,Internal,17,0,True,True,handpump,wug,never pay,soft,good,dry,shallow well,groundwater,hand pump,unknown
148,17923,0.0,856,Hesawa,1171,DWE,Lake Victoria,19,350,True,True,handpump,vwc,never pay,coloured,colored,seasonal,shallow well,groundwater,hand pump,1990-1999
149,71743,50.0,1011,other,110,DWE,Wami / Ruvu,6,100,True,True,motorpump,vwc,per bucket,soft,good,dry,river,surface,other,1980-1989
150,51539,0.0,297,other,0,DWE,Lake Victoria,17,0,False,False,handpump,wug,unknown,soft,good,enough,shallow well,groundwater,hand pump,unknown
151,73819,0.0,977,other,0,Commu,Rufiji,1,0,True,False,motorpump,vwc,per bucket,soft,good,enough,machine dbh,groundwater,communal standpipe,unknown
152,66881,0.0,956,other,0,other,Lake Nyasa,12,0,True,False,handpump,vwc,on failure,soft,good,enough,shallow well,groundwater,hand pump,unknown
153,58768,0.0,297,other,951,DWE,Lake Tanganyika,16,300,True,True,handpump,vwc,unknown,soft,good,enough,shallow well,groundwater,hand pump,1990-1999
154,2648,0.0,879,other,0,other,Lake Tanganyika,18,0,True,True,gravity,vwc,never pay,soft,good,insufficient,spring,groundwater,communal standpipe,unknown
155,68933,500.0,123,Danida,439,Danida,Lake Nyasa,10,96,False,True,gravity,vwc,monthly,soft,good,enough,spring,groundwater,communal standpipe,1990-1999
156,12427,0.0,314,other,1111,DWE,Lake Tanganyika,16,740,True,False,handpump,vwc,never pay,soft,good,enough,shallow well,groundwater,hand pump,2000-2009
157,16633,0.0,851,other,0,other,Lake Rukwa,12,0,False,False,other,vwc,never pay,soft,good,seasonal,shallow well,groundwater,other,unknown
158,24123,0.0,1021,other,1827,other,Rufiji,11,400,True,True,handpump,vwc,never pay,soft,good,enough,machine dbh,groundwater,hand pump,2000-2009
159,58551,0.0,969,other,0,Commu,Wami / Ruvu,1,0,True,False,motorpump,vwc,per bucket,soft,good,dry,machine dbh,groundwater,communal standpipe,unknown
160,17132,50.0,992,other,137,other,Wami / Ruvu,6,1,True,True,motorpump,vwc,per bucket,soft,good,enough,river,surface,communal standpipe,2000-2009
161,3027,0.0,297,other,1345,DWE,Lake Tanganyika,16,250,True,False,submersible,vwc,unknown,soft,good,insufficient,machine dbh,groundwater,communal standpipe,2010-2013
162,2651,0.0,292,other,1444,other,Internal,13,1,True,False,motorpump,vwc,unknown,unknown,unknown,dry,machine dbh,groundwater,communal standpipe,1960-1969
163,25998,0.0,310,other,212,other,Ruvuma / Southern Coast,9,300,True,True,submersible,vwc,never pay,soft,good,dry,machine dbh,groundwater,communal standpipe,1980-1989
164,63400,0.0,253,other,1266,other,Pangani,2,500,True,False,gravity,wua,unknown,soft,good,insufficient,rainwater harvesting,surface,communal standpipe,2010-2013
165,50028,0.0,974,other,0,Commu,Wami / Ruvu,1,0,True,False,motorpump,vwc,monthly,soft,good,dry,machine dbh,groundwater,communal standpipe,unknown
166,67897,0.0,285,other,910,other,Pangani,21,200,True,True,handpump,wug,unknown,salty,salty,insufficient,shallow well,groundwater,hand pump,2000-2009
167,21425,0.0,846,Hesawa,0,other,Lake Victoria,19,0,False,True,handpump,vwc,never pay,unknown,unknown,unknown,machine dbh,groundwater,hand pump,unknown
168,71756,0.0,409,other,0,other,Internal,17,0,True,False,handpump,wug,never pay,soft,good,seasonal,shallow well,groundwater,hand pump,unknown
169,16862,0.0,254,other,1285,other,Pangani,3,1,True,True,gravity,water board,monthly,soft,good,enough,spring,groundwater,communal standpipe,2000-2009
170,15420,0.0,960,other,1570,other,Rufiji,11,30,True,True,gravity,vwc,never pay,soft,good,dry,river,surface,communal standpipe,1990-1999
171,47784,0.0,853,other,0,other,Lake Victoria,18,0,True,False,gravity,vwc,never pay,soft,good,insufficient,rainwater harvesting,surface,communal standpipe,unknown
172,712,200.0,299,other,379,other,Ruvuma / Southern Coast,90,150,True,True,handpump,parastatal,per bucket,salty,salty,enough,machine dbh,groundwater,hand pump,2000-2009
173,54368,0.0,846,other,0,other,Lake Victoria,19,0,True,True,other,vwc,never pay,soft,good,seasonal,shallow well,groundwater,other,unknown
174,2866,0.0,882,other,0,other,Lake Nyasa,12,0,True,False,gravity,vwc,never pay,soft,good,enough,spring,groundwater,communal standpipe,unknown
175,51130,0.0,422,other,0,Government,Internal,17,0,True,True,gravity,parastatal,never pay,soft,good,seasonal,rainwater harvesting,surface,communal standpipe,unknown
176,27993,0.0,995,World Bank,0,DWE,Internal,1,0,True,False,handpump,vwc,never pay,soft,good,enough,shallow well,groundwater,hand pump,unknown
177,21621,0.0,321,other,1160,DWE,Lake Tanganyika,16,590,True,False,motorpump,vwc,never pay,soft,good,enough,shallow well,groundwater,communal standpipe,1970-1979
178,66038,50.0,1005,other,40,DWE,Pangani,4,16,False,False,submersible,private operator,per bucket,soft,good,seasonal,machine dbh,groundwater,communal standpipe,2000-2009
179,42182,50.0,986,other,-8,other,Wami / Ruvu,6,50,True,True,submersible,private operator,per bucket,soft,good,enough,river,surface,communal standpipe,2000-2009
180,17694,0.0,304,other,-21,other,Ruvuma / Southern Coast,99,300,True,True,other,vwc,unknown,soft,good,enough,machine dbh,groundwater,other,1980-1989
181,57759,4000.0,1017,other,1959,other,Rufiji,11,80,True,True,gravity,vwc,annually,soft,good,enough,river,surface,communal standpipe,2000-2009
